model,html->html_top,html->md_top,html->ltx_top,md->html_top,md->md_top,md->ltx_top,ltx->html_top,ltx->md_top,ltx->ltx_top,html->html_con,html->md_con,html->ltx_con,md->html_con,md->md_con,md->ltx_con,ltx->html_con,ltx->md_con,ltx->ltx_con,OVERALL_top,OVERALL_con
InternVL3.5-14B,0.9869,0.9882,0.9555,0.9909,0.9848,0.9603,0.9646,0.971,0.9542,0.9506,0.9413,0.9219,0.9298,0.9303,0.9129,0.9277,0.9149,0.9306,0.9729,0.9289
InternVL3.5-30B-A3B,0.9828,0.9889,0.9491,0.9887,0.9873,0.9609,0.9647,0.9694,0.9476,0.9508,0.9439,0.9215,0.9337,0.9377,0.9153,0.9269,0.9183,0.9184,0.9711,0.9296
Qwen3-VL-30B-A3B-Instruct,0.9848,0.992,0.8438,0.99,0.9965,0.9699,0.9725,0.9784,0.9608,0.9781,0.9792,0.8043,0.9692,0.9846,0.9324,0.9516,0.9503,0.9489,0.9654,0.9443
Qwen3-VL-8B-Instruct,0.9904,0.9968,0.9536,0.99,0.9956,0.9688,0.9781,0.9827,0.9667,0.9802,0.9822,0.9235,0.9696,0.9817,0.9307,0.9543,0.9542,0.9457,0.9803,0.958
SmolVLM2-2.2B-Instruct,0.8704,0.864,0.8061,0.6613,0.7881,0.7834,0.7898,0.8501,0.5654,0.7402,0.7395,0.6877,0.5738,0.6827,0.6769,0.6542,0.6895,0.466,0.7989,0.6799
gemini-3-flash-preview,0.0499,0.9551,0.6454,0.8649,0.9661,0.5099,0.6459,0.9304,0.578,0.0494,0.9411,0.6404,0.8489,0.9557,0.5051,0.632,0.9081,0.5734,0.6829,0.6728
gemma_3-12B-IT,0.937,0.9497,0.9072,0.9525,0.9596,0.9217,0.941,0.9457,0.9049,0.7907,0.7919,0.7581,0.7982,0.8074,0.7683,0.7777,0.7738,0.7519,0.9355,0.7798
gemma_3-27B-IT,0.9678,0.9671,0.9381,0.9766,0.9744,0.9449,0.966,0.9605,0.9383,0.8597,0.8453,0.8222,0.8527,0.8495,0.8133,0.8287,0.8179,0.8144,0.9593,0.8338
gpt-5.2,0.9805,0.9821,0.8129,0.9835,0.9913,0.9473,0.9782,0.9737,0.9318,0.9671,0.9438,0.7825,0.9561,0.9705,0.907,0.9418,0.9373,0.8928,0.9533,0.9219
llava_1.6-vicuna-13B,0.6615,0.8055,0.2281,0.6229,0.7479,0.2216,0.6492,0.7561,0.2672,0.4579,0.5137,0.1494,0.4524,0.5072,0.1495,0.458,0.4949,0.1912,0.5511,0.3749
llava_1.6-vicuna-7B,0.6989,0.6605,0.0494,0.6996,0.5359,0.0448,0.706,0.5813,0.0521,0.4296,0.3996,0.0234,0.455,0.3518,0.0192,0.4395,0.3686,0.0276,0.4476,0.2794
ministral_3-14B-Instruct,0.9797,0.9465,0.9473,0.9755,0.9504,0.9515,0.9481,0.9273,0.9254,0.9403,0.8985,0.9206,0.9158,0.9047,0.9023,0.8694,0.86,0.8755,0.9502,0.8986
table-llava-v1.5-7b-hf,0.7259,0.705,0.6805,0.7321,0.7227,0.6953,0.5774,0.568,0.5412,0.3298,0.3255,0.3104,0.4257,0.4274,0.4127,0.2877,0.2892,0.278,0.6609,0.3429
