pipeline,model,SL,CL,MIL,ACA,CE,SBV,MBV
VLM,gemini-3-flash-preview,66.43,74.67,49.67,63.21,72.0,65.33,66.0
VLM,gpt-5.2,55.01,53.0,40.33,59.87,65.67,57.0,54.67
VLM,Qwen3-VL-8B-Instruct,58.0,35.33,37.33,31.67,48.0,70.0,68.0
VLM,InternVL3.5-30B-A3B,51.67,37.67,18.33,33.0,52.67,73.67,74.0
VLM,InternVL3.5-14B,49.67,36.0,25.33,29.33,57.0,75.67,64.67
VLM,gemma_3-27B-IT,50.33,31.67,26.33,29.0,39.0,71.0,72.0
VLM,ministral_3-14B-Instruct,45.33,40.0,19.33,28.67,51.33,54.67,55.33
VLM,Qwen3-VL-30B-A3B-Instruct,48.67,23.67,23.67,21.33,52.0,65.0,56.67
VLM,gemma_3-12B-IT,42.67,24.0,17.67,24.0,35.33,63.67,65.67
VLM,llava_1.6-vicuna-7B,26.67,10.67,1.67,9.67,16.67,79.0,78.0
VLM,SmolVLM2-2.2B-Instruct,38.33,20.33,12.67,17.33,25.67,38.67,43.67
VLM,llava_1.6-vicuna-13B,29.33,13.33,2.0,10.67,23.0,47.0,47.0
VLM,table-llava-v1.5-7b-hf,2.0,1.0,0.0,2.0,4.67,4.0,1.0
,,,,,,,,
VLM-TEXT,gemini-3-flash-preview,67.0,75.33,47.33,63.67,71.0,67.67,65.67
VLM-TEXT,gpt-5.2,62.33,46.67,44.0,61.67,68.67,62.33,57.33
VLM-TEXT,Qwen3-VL-8B-Instruct,58.0,33.0,45.33,37.0,49.0,73.67,74.67
VLM-TEXT,gemma_3-27B-IT,57.0,40.33,40.67,37.0,49.33,68.0,76.0
VLM-TEXT,gemma_3-12B-IT,58.0,36.0,40.67,26.0,44.67,68.67,71.0
VLM-TEXT,InternVL3.5-30B-A3B,45.67,32.0,16.0,42.0,47.33,71.33,68.33
VLM-TEXT,InternVL3.5-14B,54.33,36.33,16.33,38.0,45.33,64.33,63.67
VLM-TEXT,Qwen3-VL-30B-A3B-Instruct,32.0,26.0,22.33,26.67,47.33,72.67,73.0
VLM-TEXT,ministral_3-14B-Instruct,50.67,33.67,13.67,22.67,46.33,48.33,46.0
VLM-TEXT,llava_1.6-vicuna-7B,9.26,3.67,5.39,7.01,14.71,75.27,77.3
VLM-TEXT,table-llava-v1.5-7b-hf,17.42,7.35,10.77,10.58,11.35,62.72,64.06
VLM-TEXT,llava_1.6-vicuna-13B,8.51,6.02,2.69,4.8,11.05,63.04,67.79
VLM-TEXT,SmolVLM2-2.2B-Instruct,1.43,0.0,0.0,1.36,2.0,64.31,58.24
,,,,,,,,
LLM,Qwen3-30B-A3B-Instruct-2507,48.0,29.67,32.33,29.67,45.67,77.0,78.67
LLM,Qwen2.5-7B-Instruct,52.67,32.67,37.0,26.67,43.0,59.67,58.0
LLM,TableGPT2-7B,40.0,27.67,30.67,21.67,33.0,73.33,72.67
LLM,TAMA-QWen3,1.0,0.0,0.0,2.0,0.0,72.0,73.0
