model,format,T.P.,F.C.,L.C.,S.D.,#Rows,#Cols,C.Lu.,R.Lu.,Co.Rt.,Ro.Rt.,OVERALL
InternVL3.5-14B,html,8.4,95.5,78.7,8.4,50.6,98.4,50.9,44.2,95.2,8.6,53.9
InternVL3.5-14B,markdown,1.4,76.3,71.4,14.5,65.7,85.9,43.6,33.2,83.9,3.3,47.9
InternVL3.5-14B,latex,11.1,94.1,76.0,11.0,44.2,99.4,36.9,22.3,87.1,6.8,48.9
InternVL3.5-30B-A3B,html,0.0,91.6,75.5,0.0,11.6,99.5,42.9,31.0,87.0,30.2,46.9
InternVL3.5-30B-A3B,markdown,0.0,64.4,75.4,0.0,15.7,97.1,32.4,28.5,86.2,21.5,42.1
InternVL3.5-30B-A3B,latex,0.0,85.1,75.8,0.0,9.1,99.4,28.8,21.0,86.8,21.9,42.8
Qwen3-VL-30B-A3B-Instruct,html,49.9,94.6,76.8,68.5,73.4,96.7,40.5,37.5,89.7,14.3,64.2
Qwen3-VL-30B-A3B-Instruct,markdown,26.4,87.8,64.9,62.3,84.6,71.7,29.6,20.8,72.2,5.9,52.6
Qwen3-VL-30B-A3B-Instruct,latex,29.4,95.5,69.6,46.9,64.5,97.5,29.7,19.7,83.0,8.6,54.5
Qwen3-VL-8B-Instruct,html,26.9,93.5,80.0,27.8,69.0,98.3,45.3,47.9,84.9,3.2,57.7
Qwen3-VL-8B-Instruct,markdown,10.7,68.5,64.5,30.2,66.9,92.8,28.1,18.8,69.0,8.3,45.8
Qwen3-VL-8B-Instruct,latex,18.6,92.1,76.3,15.7,36.2,100.0,30.2,17.5,74.1,5.6,46.6
SmolVLM2-2.2B-Instruct,html,0.0,11.3,9.2,0.0,6.8,0.2,0.2,2.6,2.9,0.0,3.3
SmolVLM2-2.2B-Instruct,markdown,0.0,8.3,5.9,0.0,17.9,1.8,0.0,4.5,4.2,0.0,4.3
SmolVLM2-2.2B-Instruct,latex,0.0,0.5,0.2,0.0,0.0,0.0,0.0,2.7,2.6,0.0,0.6
gemini-3-flash-preview,html,92.7,97.3,90.0,86.5,97.8,100.0,16.9,79.0,97.3,59.9,81.7
gemini-3-flash-preview,markdown,88.9,95.7,89.0,75.8,95.1,100.0,15.9,67.1,97.5,49.8,77.5
gemini-3-flash-preview,latex,90.6,97.1,89.3,8.9,89.8,100.0,0.6,19.4,97.5,5.9,59.9
gemma_3-12B-IT,html,18.9,68.5,81.4,64.9,77.9,90.1,31.3,28.9,85.1,5.6,55.3
gemma_3-12B-IT,markdown,4.3,31.6,67.4,51.4,73.3,67.2,19.4,20.7,76.3,2.5,41.4
gemma_3-12B-IT,latex,14.5,53.1,76.5,30.5,35.6,98.7,19.1,18.4,76.9,3.7,42.7
gemma_3-27B-IT,html,53.7,82.5,82.2,72.2,73.8,98.1,45.0,55.6,94.9,16.2,67.4
gemma_3-27B-IT,markdown,16.4,45.3,70.6,59.5,83.3,76.5,40.5,38.5,91.6,11.6,53.4
gemma_3-27B-IT,latex,33.2,62.6,76.2,60.4,60.1,99.5,42.0,32.3,89.0,13.2,56.9
gpt-5.2,html,94.9,99.4,95.5,98.4,97.3,100.0,53.3,86.0,94.8,84.4,90.4
gpt-5.2,markdown,88.6,94.9,93.3,87.3,96.0,99.8,14.8,34.8,96.2,25.1,73.1
gpt-5.2,latex,90.5,98.4,92.5,29.3,84.4,100.0,7.0,17.2,97.6,3.5,62.0
llava_1.6-vicuna-13B,html,0.0,21.5,5.2,1.0,12.3,31.2,2.5,0.7,16.0,0.2,9.1
llava_1.6-vicuna-13B,markdown,0.0,12.5,4.9,0.0,8.1,5.5,1.6,1.3,12.5,0.0,4.6
llava_1.6-vicuna-13B,latex,0.0,24.7,7.6,0.3,1.0,1.6,2.3,2.4,19.4,0.2,5.9
llava_1.6-vicuna-7B,html,0.0,27.5,2.7,0.0,0.0,0.0,0.0,1.0,14.4,0.0,4.6
llava_1.6-vicuna-7B,markdown,0.0,16.1,2.9,0.0,1.8,0.3,0.2,0.6,3.9,0.0,2.6
llava_1.6-vicuna-7B,latex,0.0,38.1,2.7,0.0,10.8,8.4,1.0,0.8,13.6,0.0,7.5
ministral_3-14B-Instruct,html,20.0,95.5,57.2,22.4,51.2,99.0,41.2,37.7,88.4,22.7,53.5
ministral_3-14B-Instruct,markdown,1.7,69.0,49.4,6.5,44.7,80.0,23.8,21.3,62.0,11.1,37.0
ministral_3-14B-Instruct,latex,14.1,79.0,62.3,30.2,40.5,99.4,19.2,17.0,68.5,12.2,44.3
table-llava-v1.5-7b-hf,html,0.0,19.7,2.8,0.0,7.0,0.5,0.2,1.7,7.3,0.0,3.9
table-llava-v1.5-7b-hf,markdown,0.0,21.3,3.9,0.0,24.5,3.1,0.0,1.0,5.4,0.0,5.9
table-llava-v1.5-7b-hf,latex,0.0,33.8,5.7,0.0,23.9,9.5,0.5,1.5,7.8,0.0,8.3
