pipeline,model,html_em,latex_em,markdown_em,html_relaxed,latex_relaxed,markdown_relaxed
VLM,InternVL3.5-14B,48.57,48.14,48.00,52.57,52.43,52.57
VLM,InternVL3.5-30B-A3B,47.86,50.00,48.29,54.29,55.43,54.71
VLM,Qwen3-VL-30B-A3B-Instruct,41.14,42.14,41.43,53.29,54.29,53.29
VLM,Qwen3-VL-8B-Instruct,50.29,49.29,49.71,55.43,54.71,55.14
VLM,Qwen3.5-27B,N/A,N/A,N/A,N/A,N/A,N/A
VLM,SmolVLM2-2.2B-Instruct,29.71,28.71,25.86,31.57,30.71,30.00
VLM,gemini-3-flash-preview,65.43,65.14,65.43,72.00,71.16,71.57
VLM,gemma_3-12B-IT,38.86,39.57,38.57,41.86,43.29,43.00
VLM,gemma_3-27B-IT,46.14,45.29,45.43,50.29,48.57,49.43
VLM,gpt-5.2,54.57,54.52,56.14,61.71,61.12,63.29
VLM,llava_1.6-vicuna-13B,25.14,23.71,25.00,27.57,26.43,27.43
VLM,llava_1.6-vicuna-7B,31.86,31.43,32.00,35.71,35.29,35.71
VLM,ministral_3-14B-Instruct,44.43,39.14,42.71,55.29,49.29,53.00
VLM,table-llava-v1.5-7b-hf,1.29,1.00,4.00,20.86,19.71,23.71

VLM-TEXT,InternVL3.5-14B,47.14,47.29,44.86,55.86,54.29,55.14
VLM-TEXT,InternVL3.5-30B-A3B,45.86,45.71,47.00,57.57,56.14,61.00
VLM-TEXT,Qwen3-VL-30B-A3B-Instruct,45.29,43.57,39.71,62.86,60.86,63.00
VLM-TEXT,Qwen3-VL-8B-Instruct,53.43,52.14,53.29,59.14,57.43,59.14
VLM-TEXT,SmolVLM2-2.2B-Instruct,21.57,17.63,15.75,39.80,34.39,33.67
VLM-TEXT,gemini-3-flash-preview,65.71,65.00,65.43,72.29,71.86,72.86
VLM-TEXT,gemma_3-12B-IT,50.29,49.00,48.57,55.57,54.14,53.71
VLM-TEXT,gemma_3-27B-IT,53.43,51.29,53.14,59.14,56.57,58.86
VLM-TEXT,gpt-5.2,57.43,57.29,58.00,66.00,65.29,66.57
VLM-TEXT,llava_1.6-vicuna-13B,23.91,22.13,24.89,42.56,43.67,44.07
VLM-TEXT,llava_1.6-vicuna-7B,27.37,29.55,26.50,43.91,41.05,42.17
VLM-TEXT,ministral_3-14B-Instruct,40.00,35.43,36.57,50.86,46.86,46.57
VLM-TEXT,table-llava-v1.5-7b-hf,23.61,27.37,28.40,36.24,37.41,38.80

LLM,Qwen2.5-7B-Instruct,44.57,42.71,45.43,50.29,48.43,51.43
LLM,Qwen3-30B-A3B-Instruct-2507,51.14,48.43,46.57,61.43,60.86,62.57
LLM,TAMA-QWen3,18.29,19.14,20.71,52.00,53.71,52.71
LLM,TableGPT2-7B,44.43,41.57,42.14,57.29,56.00,58.57
